id,web_name,first_name,second_name,team,team_code,element_type,now_cost,cost_change_event,cost_change_start,status,chance_of_playing_next_round,chance_of_playing_this_round,news,news_added,selected_by_percent,transfers_in_event,transfers_out_event,form,points_per_game,total_points,event_points,minutes,starts,goals_scored,assists,clean_sheets,goals_conceded,bonus,bps,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,expected_goals_per_90,expected_assists_per_90,expected_goal_involvements_per_90,expected_goals_conceded_per_90,defensive_contribution,defensive_contribution_per_90,clearances_blocks_interceptions,recoveries,tackles,saves,saves_per_90,starts_per_90,penalties_order,corners_and_indirect_freekicks_order,direct_freekicks_order,ep_next,ep_this,dreamteam_count,value_form,value_season
604,Cresswell,Alfie,Cresswell,13,2,3,45,0,0,a,,,,,0.1,252,759,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
605,Yalcouyé,Malick,Yalcouyé,5,36,3,45,0,0,a,,,,,4.0,21821,28835,4.8,4.0,20,1,236,3,2,0,1,4,1,96,1.46,0.45,1.91,6.57,0.56,0.17,0.73,2.51,19,7.25,6,7,6,0,0.0,1.14,,,,4.8,4.8,0,1.1,4.4
606,Rowe,Triston,Rowe,2,7,2,40,0,0,a,,,,,0.2,250,762,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
607,Lynch,Luka,Lynch,2,7,3,45,0,0,u,0,0,Has joined Oxford United on loan until January,2026-09-04T12:35:39.820426Z,0.1,0,583,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
608,Jebbison,Daniel,Jebbison,3,91,4,50,0,0,a,,,,,0.1,714,733,0.5,1.0,3,1,31,0,0,0,0,2,0,13,0.10,0.00,0.10,0.61,0.29,0.0,0.29,1.77,1,2.9,0,1,0,0,0.0,0.0,,,,0.5,0.5,0,0.1,0.6
609,Shahar,Leo,Shahar,17,4,2,40,0,0,u,0,0,has joined Arouca on loan for the rest of the seaon.,2026-09-11T14:41:57.406766Z,0.2,0,1567,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
610,De Fougerolles,Luc,De Fougerolles,10,54,2,40,0,0,u,0,0,has joined  Real Salt Lake on loan for the rest of the seaon.,2026-08-28T11:30:08.336405Z,0.1,0,425,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
611,Wan-Bissaka,Aaron,Wan-Bissaka,2,7,2,45,0,0,a,,,,,0.2,1203,1205,1.5,1.5,6,1,152,2,0,0,0,2,0,24,0.00,0.07,0.07,3.27,0.0,0.04,0.04,1.94,21,12.43,12,1,9,0,0.0,1.18,,,,1.5,1.5,0,0.3,1.3
612,Methalie,Dayann,Méthalie,20,56,2,45,0,0,a,100,100,,2026-08-28T13:00:08.950445Z,0.0,89,53,-0.2,-1.0,-1,-1,90,1,0,0,0,5,0,-8,0.03,0.01,0.04,2.82,0.03,0.01,0.04,2.82,3,3.0,2,4,1,0,0.0,1.0,,,,-0.2,-0.2,0,0.0,-0.2
613,Ahoka,Jules,Ahoka,20,56,3,45,0,0,a,,,,,0.2,490,1364,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
614,Hadjam,Jaouen,Hadjam,5,36,2,45,0,0,a,,,,,0.0,214,212,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
615,Di Gregorio,Michele,Di Gregorio,3,91,1,45,0,0,a,,,,,0.0,157,159,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
616,Bouaddi,Ayyoub,Bouaddi,15,43,3,55,0,0,a,,,,,0.2,694,1821,0.5,1.0,2,0,22,0,0,0,0,0,0,8,0.00,0.12,0.12,0.37,0.0,0.49,0.49,1.51,6,24.55,3,3,0,0,0.0,0.0,,,,0.5,0.5,0,0.1,0.4
617,Cho,Mohamed-Ali,Cho,11,88,3,50,0,0,a,,,,,0.0,292,119,2.2,2.2,9,6,72,0,1,0,0,1,0,36,0.79,0.36,1.15,0.98,0.99,0.45,1.44,1.22,2,2.5,1,1,0,0,0.0,0.0,,,,2.2,2.2,0,0.4,1.8
618,Goretzka,Leon,Goretzka,2,7,3,59,0,-1,i,0,0,Knee injury - Expected back 10 Oct,2026-09-09T09:30:08.229436Z,0.0,16,359,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
619,Palacios,Exequiel,Palacios,12,40,3,50,0,0,a,,,,,0.1,426,696,2.8,2.8,11,2,275,3,0,0,0,7,0,64,0.00,0.09,0.09,5.30,0.0,0.03,0.03,1.73,44,14.4,12,23,9,0,0.0,0.98,,,,2.8,2.8,0,0.6,2.2
620,Diouf,El Hadji Malick,Diouf,4,94,2,45,0,0,a,,,,,0.1,392,585,0.5,1.0,2,1,39,0,0,0,0,0,0,7,0.00,0.01,0.01,0.63,0.0,0.02,0.02,1.45,2,4.62,2,1,0,0,0.0,0.0,,,,0.5,0.5,0,0.1,0.4
621,McAidoo,Ryan,McAidoo,15,43,3,45,0,0,a,,,,,0.1,156,922,0.5,1.0,2,0,11,0,0,0,0,0,0,8,0.10,0.00,0.10,0.02,0.82,0.0,0.82,0.16,4,32.73,0,2,2,0,0.0,0.0,,,,0.5,0.5,0,0.1,0.4
622,Braithwaite,Kaden,Braithwaite,15,43,2,40,0,0,a,,,,,0.2,470,1361,0.2,1.0,1,0,1,0,0,0,0,0,0,3,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0,0.0,0,1,0,0,0.0,0.0,,,,0.2,0.2,0,0.0,0.2
623,Bentley,Dan,Bentley,7,9,1,40,0,0,a,,,,,0.6,7151,1763,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
624,Cozier-Duberry,Amario,Cozier-Duberry,5,36,3,50,0,0,u,0,0,Has joined Middlesbrough on loan for the rest of the season,2026-09-02T15:38:15.552951Z,0.0,0,3,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
625,Cairns,Alex,Cairns,13,2,1,40,0,0,a,,,,,0.2,709,633,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
626,Zepa,Macaulay,Zepa,10,54,3,45,0,0,a,,,,,0.3,100,1870,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
627,Barcola,Bradley,Barcola,14,14,3,80,0,0,a,,,,,1.8,7212,15953,2.3,2.3,7,3,168,2,0,0,2,0,0,22,0.26,0.13,0.39,1.43,0.14,0.07,0.21,0.77,8,4.29,0,5,3,0,0.0,1.07,,,,2.3,2.3,0,0.3,0.9
628,Allan,Allan,Andrade Elias,15,43,3,60,0,0,a,,,,,0.0,188,130,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0,0.0,0.0
